위도,경도,단속건수
36.83825479,127.1328859,82
36.84055319,127.1221829,82
36.79672761,127.1559697,81
36.81346279,127.1354304,80
36.80699409,127.1495582,79
36.78459751,127.1580424,79
36.81200755,127.1293169,79
36.78864526,127.1246386,78
36.84443816,127.1118962,78
36.83390343,127.138804,78
36.82292172,127.1075831,78
36.80828378,127.1047944,77
36.80240556,127.1175238,77
36.79388306,127.1325703,76
36.83126301,127.1484261,75
36.83319639,127.138598,75
36.78393419,127.155445,73
36.80217902,127.1074273,73
36.80887424,127.1499373,72
36.79880893,127.1073442,72
36.843131,127.1208424,72
36.78512311,127.1463672,72
36.81948953,127.1560663,71
36.81157081,127.1545138,71
36.91525734,127.128711,70
36.80133619,127.1407037,70
36.80976085,127.109536,70
36.81210742,127.1455132,70
36.83165085,127.1354432,70
36.78461032,127.1568031,69
36.79364849,127.1642117,69
36.81016362,127.1039406,69
36.80873596,127.104691,69
36.82855629,127.1413067,68
36.82205039,127.1575073,68
36.82382367,127.1365994,68
36.87868644,127.157478,67
36.77829616,127.1600872,67
36.80321216,127.1201248,66
36.81056024,127.1440877,66
36.83777169,127.1419453,66
36.81524242,127.1541334,66
36.82727792,127.1375079,66
36.80357997,127.1189862,65
36.79179736,127.1257541,65
36.77409962,127.1346636,65
36.83217997,127.137181,65
36.76990554,127.1362592,64
36.81943141,127.1598012,63
36.8380923,127.1136969,63
36.82151868,127.1171272,62
36.78898934,127.1318762,62
36.83184436,127.1406789,62
36.91802191,127.1331968,61
36.83230212,127.1416668,61
36.83597274,127.1110058,61
36.79848305,127.1613158,61
36.90539971,127.1344118,61
36.83069472,127.1282611,61
36.80752451,127.1472275,60
36.78229487,127.1529563,60
36.80287209,127.1302205,60
36.81769558,127.1588732,60
36.83762275,127.1124498,60
36.83941149,127.1063321,60
36.79231286,127.1176734,60
36.7979636,127.1329428,59
36.83840914,127.1163013,59
36.84038495,127.1297518,59
36.80451662,127.1077899,59
36.83077477,127.1418698,59
36.80085008,127.13673,59
36.83757878,127.142833,59
36.83692281,127.1482481,58
36.82419325,127.1552949,58
36.81985571,127.1200835,58
36.79889991,127.1266214,58
36.79369929,127.1317914,58
36.77485135,127.137483,57
36.84018806,127.124269,57
36.78891729,127.1216101,57
36.81734404,127.139496,57
36.81943927,127.1599879,57
36.83690274,127.1480892,57
36.78735824,127.1233893,57
36.8480042,127.1110252,57
36.80262745,127.1261076,57
36.78135845,127.155855,56
36.8214554,127.1441355,56
36.87195111,127.1484217,56
36.79446291,127.1630407,56
36.80126005,127.1070447,56
36.84369021,127.1502539,56
36.83433446,127.1115598,56
36.79355531,127.1518071,55
36.83971644,127.1296475,55
36.80768979,127.1483759,55
36.81651124,127.1608306,55
36.80646449,127.1522063,55
36.77390281,127.1309604,55
36.78118647,127.1547203,54
36.79997105,127.1498896,54
36.83307902,127.14305,54
36.81099838,127.1098821,54
36.83363633,127.1325804,54
36.82818275,127.1331318,54
36.79303946,127.1571846,54
36.80667975,127.1584922,54
36.80494226,127.1056345,53
36.84252844,127.1365636,53
36.79990419,127.128978,53
36.81113779,127.1386766,53
36.82689425,127.1392758,53
36.77251906,127.2104615,52
